sro,serial,village_hi,category,road_hi,note
sadar4,31,बरावन कलां,abadi,,"p26: continuation of serial 31; printed '1115त्र742/1779' with no comma, split as 1115त्र and 742/1779; last token '18' + '5' on p.27 = 185; 185 joined across p26/p27"
sadar4,31,बरावन कलां,abadi,,p27: continuation of serial 31; first token '5' completes 185 from p.26; last token '1' continues on p.28; 1748 joined across p27/p28
sadar4,31,बरावन कलां,abadi,,p28: first token 748 continues from prev page (prev page ends '1' → likely 1748)
sadar4,32,बरावन खुर्द,abadi,,p29: printed '119121' (missing comma) split as 119;121; remark: लखनऊ विकास प्राधिकरण के द्वारा अधिग्रहीत किया गया।
sadar4,32,बरावन खुर्द,abadi,,p30: continues serial 32 बरावन खुर्द
sadar4,32,बरावन खुर्द,abadi,,p31: continues serial 32 बरावन खुर्द
sadar4,33,बरीकलां,abadi,,p31: remark: लखनऊ विकास प्राधिकरण के द्वारा अधिग्रहीत किया गया।
sadar4,33,बरीकलां,abadi,,p32: continues serial 33 बरीकलां
sadar4,33,बरीकलां,abadi,,p33: continues serial 33 बरीकलां
sadar4,37,भटऊ जमालपुर,link,,p34: continues serial 37 भटऊ जमालपुर
sadar4,37,भटऊ जमालपुर,abadi,,p34: continues serial 37 भटऊ जमालपुर
sadar4,38,भलिया,link,,p35: continues serial 38 भलिया
sadar4,38,भलिया,abadi,,p35: continues serial 38 भलिया
sadar4,42,मुबारकपुर,link,,p35: remark: ग्राम में चकबन्दी नही हुई है।
sadar4,42,मुबारकपुर,abadi,,p35: remark: ग्राम में चकबन्दी नही हुई है।
sadar4,44,रहीमनगर डुडौली,abadi,,"p36: last token 30 cut at page end, continues on next page; remark: ग्राम नगर निगम सीमा के अन्तर्गत शहरीकरण हो चुका है।"
sadar4,44,रहीमनगर डुडौली,abadi,,"p37: first token 309 split across pages: p36 ends '30', p37 starts '9'"
sadar4,45,रायपुर (काकोरी),link,,"p37: printed ',,' before 215"
sadar4,46,लोहरामऊ,abadi,,p37: remark: ग्राम नगर निगम सीमा के अन्तर्गत शहरीकरण हो चुका है।; last token 151 split across p37/p38 ('15'+'1')
sadar4,46,लोहरामऊ,abadi,,p38: continued from p37; leading '1' completes 151 (listed on p37)
sadar4,47,बहरू,link,,p38: cell continues on p39
sadar4,47,बहरू,link,,p39: continued from p38
sadar4,48,शाहपुर,link,,p39: cell continues on p40
sadar4,48,शाहपुर,link,,p40: continued from p39
sadar4,50,सराय मुहिब,none,,"all columns ""—"""
sadar4,51,सलेमपुर पतौरा,link,,p40: cell continues on p41
sadar4,51,सलेमपुर पतौरा,link,,p41: continued from p40
sadar4,51,सलेमपुर पतौरा,abadi,,p40: last token 190 split across p40/p41 ('1'+'90'); cell continues on p41
sadar4,51,सलेमपुर पतौरा,abadi,,"p41: continued from p40 (leading '90' completes 190, listed on p40); continues on p42"
sadar4,51,सलेमपुर पतौरा,abadi,,p42: continued from p41
sadar4,53,सैदपुर महेरी,link,,p42: cell continues on p43
sadar4,53,सैदपुर महेरी,link,,p43: continued from p42
sadar4,57,टाउन एरिया काकोरी,none,,"all columns ""—""; remark: ग्राम काकोरी का मजरा है।"
sadar4,58,सेमरागौढी,nh,,p43: village name and row very faint (name best reading); 281? 290? faint digits
sadar4,58,सेमरागौढी,link,,p43: faint print; village name best reading
sadar4,58,सेमरागौढी,abadi,,p43: faint first line; cell continues on p44
sadar4,58,सेमरागौढी,abadi,,p44: '7677' printed without comma (likely 76 and 77); last token 340 split across p44/p45 ('3'+'40'); continued from p43
sadar4,58,सेमरागौढी,abadi,,"p45: continued from p44 (leading '40' completes 340, listed on p44)"
bkt,1,अरम्बा,abadi,,p2: token 467466 printed without comma (likely 467;466)
bkt,2,अचरामऊ,link,,p2: cell continues on p3; last token 252/1186 spans page break (/1186 printed at top of p3)
bkt,2,अचरामऊ,link,,"p3: continued from p2; leading /1186 joined to 252 on p2; printed '253,/1187' (stray comma) read as 253/1187"
bkt,3,अल्दमपुर,link,,p3: cell continues on p4; last token 451 spans page break (4 on p3 + 51 on p4)
bkt,3,अल्दमपुर,link,,p4: continued from p3 (leading '51' joined to 451 on p3)
bkt,4,अधार खेडा,link,,p4: cell continues on p5
bkt,4,अधार खेडा,link,,p5: continued from p4
bkt,4,अधार खेडा,abadi,,p4: remark: abadi cell text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,6,अजनहर कला,abadi,,p5: remark: abadi cell text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,9,अस्ती,nh,,p5: cell continues on p6
bkt,9,अस्ती,nh,,p6: continued from p5
bkt,9,अस्ती,link,,p5: cell continues on p6; last token 628 spans page break (62 on p5 + 8 on p6)
bkt,9,अस्ती,link,,p6: continued from p5 (leading '8' joined to 628 on p5)
bkt,12,अतरौरा,link,,p6: cell continues on p7
bkt,12,अतरौरा,link,,p7: continued from p6
bkt,12,अतरौरा,abadi,,p6: cell continues on p7
bkt,12,अतरौरा,abadi,,p7: continued from p6
bkt,13,इन्दारा,link,,"p7: cell continues on p8; last token 710 spans page break (71 on p7 + 0 on p8); short tokens 76, 81, 72 as printed"
bkt,13,इन्दारा,link,,"p8: continued from p7 (leading '0' joined to 710 on p7); printed '63ए0' with stray superscript char, read as 630?"
bkt,14,इटौंजा,abadi,,p8: cell continues on p9
bkt,14,इटौंजा,abadi,,p9: continued from p8
bkt,19,कुम्हरावॉ,link,,p10: cell continues on p11
bkt,19,कुम्हरावॉ,link,,p11: continued from p10
bkt,20,कुंवरपुर,link,,"p11: cell ends with comma, likely continues on p12"
bkt,26,कमलाबाद बढौली,nh,,p13: last number split across page: '1' here + '76' on p14 = 176
bkt,26,कमलाबाद बढौली,nh,,p14: cell starts with '76' completing 176 (recorded on p13)
bkt,26,कमलाबाद बढौली,abadi,,p13: cell text (no numbers): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है।
bkt,26,कमलाबाद बढौली,abadi,,p14: cell text (no numbers): वर्तमान मे ग्राम नगर पंचायत बी0के0टी0 सीमा के अन्तर्गत आता है।
bkt,32,करीमनगर,link,,p15: last number split across page: '2' here + '46' on p16 = 246
bkt,32,करीमनगर,link,,p16: cell starts with '46' completing 246 (recorded on p15)
bkt,37,किशुनपुर,link,,"p18: token 6622 as printed (possibly 662,2 missing comma)"
bkt,38,खरगपुर जागीर,abadi,,p18: cell text (no numbers): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,39,खजुरी,link,,p18: last number split across page: '21' here + '5' on p19 = 215
bkt,39,खजुरी,link,,p19: cell starts with '5' completing 215 (recorded on p18)
bkt,42,खटैय्या,link,,p19: last number split across page: '2' here + '9' on p20 = 29
bkt,42,खटैय्या,link,,p20: cell starts with '9' completing 29 (recorded on p19)
bkt,42,खटैय्या,abadi,,"p19: token 195216 as printed (possibly 195,216 missing comma)"
bkt,47,गोधना,link,,p20: last number split across page: '26' here + '7' on p21 = 267
bkt,47,गोधना,link,,p21: cell starts with '7' completing 267 (recorded on p20)
bkt,48,गोयला,link,,"p21: printed '65,,61' (double comma); cell continues on p22"
bkt,48,गोयला,link,,p23: number split across page break: last token 1025 printed as '10' on p23 + '25' on p24
bkt,48,गोयला,link,,p24: leading fragment '25' belongs to 1025 recorded on p23
bkt,48,गोयला,abadi,,p21: cell text (no numbers): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,51,गांगजोर,link,,p24: 136 wraps as '1'+'36' (maybe 36 intended)
bkt,54,गुड्म्बा,abadi,,"p25: abadi cell has text, no numbers: ग्राम के लगभग समस्त गाटो के आस- पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।"
bkt,55,चन्दनापुर,link,,p25: number split across page break: last token 395 printed as '39' on p25 + '5' on p26
bkt,55,चन्दनापुर,link,,p26: leading fragment '5' belongs to 395 recorded on p25
bkt,57,चौगवां,link,,p26: number split across page break: last token 462 printed as '4' on p26 + '62' on p27
bkt,57,चौगवां,link,,p27: leading fragment '62' belongs to 462 recorded on p26
bkt,58,चॉदपुर खानीपुर,link,,p27: number split across page break: last token 176 printed as '1' on p27 + '76' on p28
bkt,58,चॉदपुर खानीपुर,link,,p28: leading fragment '76' belongs to 176 recorded on p27
bkt,63,जमखनवां,abadi,,"p29: double commas printed (551,,630 and 628,,540) - no missing digits visible"
bkt,65,टिकरी,link,,p30: number split across page break: last token 131 printed as '13' on p30 + '1' on p31
bkt,65,टिकरी,link,,p31: leading fragment '1' belongs to 131 recorded on p30
bkt,69,ढिलवासी,link,,p31: number split across page break: last token 294 printed as '2' on p31 + '94' on p32; cell continues on p32
bkt,69,ढिलवासी,link,,p32: first token 94 may be tail of a number split from previous page
bkt,69,ढिलवासी,abadi,,p31: number split across page break: last token 101 printed as '1' on p31 + '01' on p32; cell continues on p32
bkt,69,ढिलवासी,abadi,,p32: first token printed '01' - tail of number split from previous page (likely 101)
bkt,71,तारनपुर,link,,p32: cell continues p33; last token 291 = '2' (p32) + '91' (p33) joined
bkt,71,तारनपुर,link,,p33: cont of 71 तारनपुर; leading '91' fragment joined into 291 on p32
bkt,72,तिवारीपुर,abadi,,p33: note (no khasra listed): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है। सम्पूर्ण ग्राम में (text ends here)
bkt,73,दुघरा,abadi,,p33: 956/1488 printed as '956 / 1488' across line break
bkt,74,दुर्जनपुर,nh,,p33: cell continues p34
bkt,74,दुर्जनपुर,nh,,p34: cont of 74 दुर्जनपुर
bkt,74,दुर्जनपुर,link,,p33: cell continues p34; last token 154 = '1' (p33) + '54' (p34) joined
bkt,74,दुर्जनपुर,link,,p34: cont of 74 दुर्जनपुर; leading '54' fragment joined into 154 on p33
bkt,75,दुग्गौर,nh,,p34: 348ख printed '348 ख'
bkt,76,देवरई कला,nh,,p34: '17स.' printed with period
bkt,77,देवरी रूखारा,nh,,p34: cell continues p35
bkt,77,देवरी रूखारा,nh,,p35: cont of 77 देवरी रूखारा
bkt,77,देवरी रूखारा,link,,p34: cell continues p35; last token 55 = '5' (p34) + '5' (p35) joined
bkt,77,देवरी रूखारा,link,,p35: cont of 77 देवरी रूखारा; leading '5' fragment joined into 55 on p34
bkt,77,देवरी रूखारा,abadi,,p34: cell continues p35
bkt,77,देवरी रूखारा,abadi,,p35: cont of 77 देवरी रूखारा; 101/1316 printed '101 / 1316'
bkt,80,दसौली,link,,p35: cell continues p36; last token 112 = '11' (p35) + '2' (p36) joined
bkt,80,दसौली,link,,p36: cont of 80 दसौली; leading '2' fragment joined into 112 on p35
bkt,80,दसौली,abadi,,p35: note (no khasra listed): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। (continues p36)
bkt,80,दसौली,abadi,,p36: cont of 80 दसौली; note (no khasra listed): वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,81,दौलतपुर,abadi,,"p36: '531613' printed without comma (likely 531,613)"
bkt,83,दिनकरपुर झलौवा,link,,p36: cell continues p37
bkt,83,दिनकरपुर झलौवा,link,,p37: cont of 83 दिनकरपुर झलौवा
bkt,87,नरहरपुर,link,,p37: cell continues p38; last token 287 = '2' (p37) + '87' (p38) joined
bkt,87,नरहरपुर,link,,p38: cont of 87 नरहरपुर; leading '87' fragment joined into 287 on p37
bkt,87,नरहरपुर,abadi,,p37: note (no khasra listed): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,90,नरोसा,abadi,,"p38: '623656' printed without comma (likely 623,656)"
bkt,91,नवीकोट नन्दना,nh,,p38: cell continues p39; last token 219 = '2' (p38) + '19' (p39) joined; 1010/188 printed '1010 / 188'
bkt,91,नवीकोट नन्दना,nh,,p39: cont of 91 नवीकोट नन्दना; leading '19' fragment joined into 219 on p38
bkt,91,नवीकोट नन्दना,link,,p38: cell continues p39
bkt,91,नवीकोट नन्दना,link,,p39: cont of 91 नवीकोट नन्दना; slashes printed with spaces; '85679' printed without comma
bkt,91,नवीकोट नन्दना,abadi,,p38: note (no khasra listed): ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर पंचायत बी0के0टी0 सीमा के अन्तर्गत आता है।
bkt,93,नगवामऊ कला,link,,p39: 739/1117 and 739/1118 printed with spaced slash
bkt,94,परसहिया,nh,,p39: cell continues p40; last token 606 = '6' (p39) + '06' (p40) joined
bkt,94,परसहिया,nh,,p40: cont of 94 परसहिया; leading '06' fragment joined into 606 on p39
bkt,94,परसहिया,link,,p39: cell continues p40
bkt,94,परसहिया,link,,p40: cont of 94 परसहिया; cell continues p41; last token 284 = '28' (p40) + '4' (p41) joined
bkt,94,परसहिया,link,,p41: cont of 94 परसहिया; leading '4' fragment joined into 284 on p40
bkt,94,परसहिया,abadi,,p39: cell continues p40
bkt,94,परसहिया,abadi,,p40: cont of 94 परसहिया
bkt,96,पल्हरी,link,,p41: cell continues on next page (p42); '2999' as printed
bkt,96,पल्हरी,link,,p66: continuation row; next serial on this page jumps to 97 (page order not serial)
bkt,100,पर्वतपुर,link,,p66: cell continues on next page (last token split); 23 joined across p66/p67
bkt,100,पर्वतपुर,link,,p67: first token 3 likely tail of number split from previous page (2+3)
bkt,100,पर्वतपुर,abadi,,p66: cell continues on next page (last token split); 193 joined across p66/p67
bkt,100,पर्वतपुर,abadi,,p67: first token 3 likely tail of number split from previous page (19+3)
bkt,101,पुरवा,nh,,p67: 247248 printed without comma (likely 247 and 248)
bkt,103,पहाडपुर,link,,p67: cell continues on next page
bkt,103,पहाडपुर,abadi,,p67: cell continues on next page
bkt,105,पैकरामऊ,nh,,p68: cell continues on next page
bkt,105,पैकरामऊ,link,,p68: cell continues on next page (last token split); 523 joined across p68/p69
bkt,105,पैकरामऊ,link,,p69: first token 23 is tail of number split from previous page (5+23)
bkt,105,पैकरामऊ,abadi,,p68: cell continues on next page (last token split); 598 joined across p68/p69
bkt,105,पैकरामऊ,abadi,,p69: first token 8 is tail of number split from previous page (59+8)
bkt,108,पोहपपुर,link,,p69: cell continues on next page (last token split); 414 joined across p69/p70
bkt,108,पोहपपुर,link,,p70: first token 4 is tail of number split from previous page (41+4)
bkt,108,पोहपपुर,abadi,,p69: cell may continue on next page; आबादी में दर्ज खसरा column: 61; 431 joined across p69/p70
bkt,108,पोहपपुर,abadi,,p70: first token 1 may be tail of previous page's last number (43+1)
bkt,111,पिरथीनगर,link,,p70: cell continues on next page
bkt,113,फतेहपुर खमराई,link,,"p71: 80879 and 7368 printed without commas (likely 80,79 and 73,68)"
bkt,114,बरगदी कला,link,,p71: cell continues on next page
bkt,114,बरगदी कला,abadi,,p71: cell continues on next page
bkt,115,बरगदी मगठ,link,,p72: printed '452 / 187' and '551 / 386' with slash kept as one token; cell continues next page
bkt,115,बरगदी मगठ,link,,p73: printed '544 / 391' kept as one token
bkt,116,बरखुरदारपुर,abadi,,p73: no numbers; text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,117,बराखेमपुर,abadi,,p73: printed '644 / 800' kept as one token
bkt,119,बसहा,link,,"p73: last number split across page break ('1' + '88'), placed here; cell continues next page"
bkt,119,बसहा,link,,p74: first number 188 split from prev page listed on p73
bkt,119,बसहा,abadi,,p73: no numbers; text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। (continues next page)
bkt,119,बसहा,abadi,,p74: no numbers; text (cont.): वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,122,बेहटा,link,,"p74: last number split across page break ('4' + '54'), placed here; cell continues next page"
bkt,122,बेहटा,link,,p75: first number 454 split from prev page listed on p74
bkt,123,बाजपुर गंगौरा,link,,p75: '327322' printed without comma (likely 327;322)
bkt,125,बगहा,link,,p75: cell continues next page
bkt,125,बगहा,abadi,,p75: cell continues next page
bkt,125,बगहा,abadi,,p76: printed '357 / 182' kept as one token
bkt,126,बौरूमऊ,nh,,p76: cell continues next page
bkt,126,बौरूमऊ,nh,,p77: '9005' as printed (9 + 005 across line wrap); '900क899' printed without comma across line wrap (likely 900क;899)
bkt,126,बौरूमऊ,link,,p76: cell continues next page
bkt,126,बौरूमऊ,link,,"p77: missing commas as printed: '909907' (909;907?), '6688858' (668 + 8858 across wrap), '13091314' (1309;1314?); '2011' as printed; last number split across page break ('151' + '4'), placed here"
bkt,126,बौरूमऊ,link,,p78: first number 1514 split from prev page listed on p77
bkt,126,बौरूमऊ,abadi,,p76: cell continues next page
bkt,133,भिठौली खुर्द,link,,p80: no numbers; cell reads '— लखनऊ विकास प्राधिकरण में अधिग्रहित भूमि'
bkt,133,भिठौली खुर्द,abadi,,p80: no numbers; text: ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत (continues next page)
bkt,133,भिठौली खुर्द,abadi,,"p42: no numbers; text continuation from p41: ""आता है।"""
bkt,136,भवानीपुर,link,,"p42: cell continues on p43; last number 216 split across pages (""2"" p42 + ""16"" p43)"
bkt,136,भवानीपुर,link,,"p43: cont of 136 भवानीपुर; leading ""16"" fragment joined into 216 on p42 row; cell ends with trailing comma"
bkt,136,भवानीपुर,abadi,,p42: cell continues on p43
bkt,136,भवानीपुर,abadi,,p43: cont of 136 भवानीपुर
bkt,138,भैसामऊ,link,,"p43: cell continues on p44; last number 702 split across pages (""70"" p43 + ""2"" p44)"
bkt,138,भैसामऊ,link,,"p44: cont of 138 भैसामऊ; leading ""2"" fragment joined into 702 on p43 row"
bkt,138,भैसामऊ,abadi,,"p43: double comma printed after 260 (""260,,64"")"
bkt,139,भौली,link,,"p44: cell continues on p45; last number 2183 split across pages (""21"" p44 + ""83"" p45)"
bkt,139,भौली,link,,"p45: cont of 139 भौली; leading ""83"" fragment joined into 2183 on p44 row; continues on p46"
bkt,139,भौली,link,,p46: cont of 139 भौली
bkt,140,भगौतीपुर,link,,p46: cell ends with trailing comma; next page starts new serial 141
bkt,142,भीखमपुर,abadi,,p47: cell ends with trailing comma
bkt,143,भटेसुवा,link,,p47: cell continues on p48
bkt,143,भटेसुवा,link,,p48: cont of 143 भटेसुवा
bkt,143,भटेसुवा,abadi,,p47: cell ends with trailing comma; nothing further on p48
bkt,144,भिखारीपुर,abadi,,"p48: 1139 as printed (wraps ""11""/""39""; sequence suggests maybe 139)"
bkt,145,मरपा,link,,p48: leading zeros as printed; cell ends with trailing comma
bkt,145,मरपा,abadi,,p48: leading zeros as printed
bkt,146,मल्हीपुर,link,,p48: 09 as printed
bkt,147,मलूकपुर,link,,"p48: cell continues on p49; last number 719 split across pages (""7"" p48 + ""19"" p49)"
bkt,147,मलूकपुर,link,,"p49: cont of 147 मलूकपुर; leading ""19"" fragment joined into 719 on p48 row; last number 381 split across pages (""3"" p49 + ""81"" p50)"
bkt,147,मलूकपुर,link,,"p50: cont of 147 मलूकपुर; leading ""81"" fragment joined into 381 on p49 row"
bkt,147,मलूकपुर,abadi,,p48: cell continues on p49
bkt,147,मलूकपुर,abadi,,p49: cont of 147 मलूकपुर
bkt,148,मड़ियांव,link,,"p50: cell continues on p51; last number 406 split across pages (""40"" p50 + ""6"" p51)"
bkt,148,मड़ियांव,link,,"p51: cont of 148 मड़ियांव; leading ""6"" fragment joined into 406 on p50 row"
bkt,148,मड़ियांव,abadi,,"p50: no numbers; cell text: ""ग्राम के लगभग समस्त गाटो के आस-पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।"""
bkt,150,महिगवॉ,link,,"p51: cell continues on p52; trailing fragment ""1"" at page end is the start of a number completed on p52 (not included)"
bkt,150,महिगवॉ,link,,p52: 1789 joined across p51/p52
bkt,150,महिगवॉ,abadi,,p51: 171708 as printed (verified at zoom; likely typo e.g. 1708)
bkt,153,मुबारकपुर,link,,p52: cell continues on next page
bkt,153,मुबारकपुर,link,,p53: last token 126 printed split across pages ('1' on p53 + '26' on p54); cell continues on next page
bkt,153,मुबारकपुर,link,,p54: first printed '26' is tail of 126 recorded on p53
bkt,154,मुहीउददीनपुर,link,,p54: no numbers; cell text: — लखनऊ विकास प्राधिकरण में अधिग्रहित भूमि
bkt,154,मुहीउददीनपुर,abadi,,p54: no numbers; cell text: ग्राम के लगभग समस्त गाटो के आस- पास आबादी विकसित है। वर्तमान मे ग्राम नगर निगम सीमा के अन्तर्गत आता है।
bkt,155,मुसपिपरी,link,,p54: last token 586 printed split across pages ('58' on p54 + '6' on p55); cell continues on next page
bkt,155,मुसपिपरी,link,,p55: first printed '6' is tail of 586 recorded on p54
bkt,157,मामपुर बाना,nh,,p55: last token 754 printed split across pages ('7' on p55 + '54' on p56); cell continues on next page
bkt,157,मामपुर बाना,nh,,p56: first printed '54' is tail of 754 recorded on p55
bkt,157,मामपुर बाना,link,,"p55: printed '828,/942' (stray comma before slash) recorded as 828/942; last token 660/647 printed split across pages ('660' on p55 + '/647' on p56); cell continues on next page"
bkt,157,मामपुर बाना,link,,p56: first printed '/647' is tail of 660/647 recorded on p55
bkt,157,मामपुर बाना,abadi,,p55: cell continues on next page
bkt,158,मंडौली,link,,p56: cell continues on next page
bkt,159,माधौपुर,link,,p57: cell continues on next page
